mode,setting,seed,round,accuracy,f1_macro,f1_weighted
iid,IID,123,1,0.7976282970470113,0.5049656141121922,0.7570210988193398
iid,IID,123,2,0.8084689666729509,0.5513222635666946,0.7792382677659465
iid,IID,123,3,0.814210889133908,0.5797941488804773,0.7904310968054828
iid,IID,123,4,0.8165150848648618,0.5912571208892512,0.7947088657855739
iid,IID,123,5,0.8182208562086649,0.5955892223415064,0.7976102597103305
iid,IID,123,6,0.819795707340482,0.6001091098945002,0.8006144599724873
iid,IID,123,7,0.8213181903875048,0.6051441933571433,0.8035625461530578
iid,IID,123,8,0.8226112060084284,0.6079742529153636,0.8056118973648739
iid,IID,123,9,0.8234029162358202,0.6091180841700267,0.8065351290110038
iid,IID,123,10,0.8240741798681848,0.6105760687568051,0.8071544833869122
iid,IID,123,11,0.8247092619146914,0.6123466989438311,0.8081619110200072
iid,IID,123,12,0.8250368004814055,0.6129812371877911,0.8084090638914889
iid,IID,123,13,0.8254933549661131,0.6139460869327724,0.8087512240974692
iid,IID,123,14,0.825907538909487,0.6154103070389791,0.8101822141183608
iid,IID,123,15,0.8261969915963506,0.615426748785037,0.8096453499647858
iid,IID,123,16,0.8266026062167582,0.616355036136275,0.8102155751046934
iid,IID,123,17,0.8269468073559069,0.617155346215618,0.8113363473755751
iid,IID,123,18,0.827227214646306,0.6202727751053088,0.8111513877282034
iid,IID,123,19,0.8275633225359864,0.6207912458050395,0.8110905120404682
iid,IID,123,20,0.8278737224567677,0.6268882501593084,0.8117436383649841
iid,IID,2026,1,0.797161745018843,0.5045668014523927,0.7552947918179465
iid,IID,2026,2,0.8095496535137081,0.5581177345250294,0.7791028465716228
iid,IID,2026,3,0.8147812251846689,0.5816343592608029,0.7906283988860395
iid,IID,2026,4,0.8172839435643432,0.5915547912056813,0.7958880643980822
iid,IID,2026,5,0.819155388485496,0.5971359739816327,0.8001085096139602
iid,IID,2026,6,0.820446499812427,0.6013770134063949,0.8034006525240782
iid,IID,2026,7,0.8215905044284357,0.6057906238119951,0.8061064921213101
iid,IID,2026,8,0.8228416255815237,0.6093270742270344,0.8075409672333795
iid,IID,2026,9,0.8239789651685586,0.6109613229792509,0.8083016471399729
iid,IID,2026,10,0.8244840791500755,0.6128849134077492,0.8098407315287249
iid,IID,2026,11,0.8252705525689878,0.6137075089730506,0.8099512782983738
iid,IID,2026,12,0.8256518874409907,0.6149530619549802,0.8110334429040617
iid,IID,2026,13,0.8261065376317057,0.6152227799303497,0.8109927762782625
iid,IID,2026,14,0.8264269350959479,0.6165522304651885,0.8118877538450631
iid,IID,2026,15,0.8268939631976143,0.6165055054005665,0.8112471230919283
iid,IID,2026,16,0.8270082208371657,0.617798072351432,0.8127213872369663
iid,IID,2026,17,0.827285771686576,0.6249251616136307,0.8119841697955681
iid,IID,2026,18,0.8275299973911172,0.6258308628026579,0.8117720117484172
iid,IID,2026,19,0.8278475384143705,0.6262203063275148,0.8120514254852922
iid,IID,2026,20,0.8279808389938472,0.6266098120176473,0.8123790458365331
iid,IID,3407,1,0.7899606572861144,0.4902210435706694,0.7363581126578486
